,Team,Pld,Won,Lost,Tied,N/R,Net RR,Pts,Position
0,Chennai Super Kings CSK,144,87,55,0,2,0.35840000000000005,176,2.0
1,Mumbai Indians MI,172,99,72,0,1,0.3133333333333334,199,3.0
2,Sunrisers Hyderabad SRH,100,54,45,0,1,0.15285714285714286,109,4.0
3,Gujarat Lions GL,28,13,15,0,0,-0.393,26,4.0
4,Rising Pune Supergiant RPS,28,14,14,0,0,0.0955,28,4.0
5,Rajasthan Royals RR,144,72,67,0,5,-0.09790000000000001,149,5.0
6,Kolkata Knight Riders KKR,172,86,82,0,4,0.08316666666666665,176,5.0
7,Royal Challengers Bangalore RCB,172,79,87,0,6,-0.05058333333333335,164,5.0
8,Kings XI Punjab KXIP,172,81,91,0,0,-0.1974166666666666,162,6.0
9,Delhi Capitals DC,172,76,93,0,3,-0.17341666666666666,155,6.0
10,Deccan Chargers DEC,72,27,44,0,1,-0.1696,55,6.0
11,Kochi Tuskers Kerala KTK,14,6,8,0,0,-0.214,12,8.0
12,Pune Warriors India PWI,46,12,33,0,1,-0.5636666666666666,25,9.0
